value,   feasible,   frequency, time, iteration
18600.0,False,3.0,0.9187262058258057,0
22528.0,False,2.0,0.9187262058258057,0
61594.0,False,3.0,0.9187262058258057,0
2604.0,False,1.0,0.9187262058258057,0
60990.0,False,6.0,0.9187262058258057,0
9682.0,False,8.0,0.9187262058258057,0
6724.0,False,1.0,0.9187262058258057,0
0.0,False,2.0,0.9187262058258057,0
39090.0,False,4.0,0.9187262058258057,0
11780.0,False,2.0,0.9187262058258057,0
1974.0,False,8.0,0.9187262058258057,0
19982.0,False,1.0,0.9187262058258057,0
2376.0,False,2.0,0.9187262058258057,0
24298.0,False,1.0,0.9187262058258057,0
11780.0,False,1.0,0.9187262058258057,0
38158.0,False,2.0,0.9187262058258057,0
25864.0,False,1.0,0.9187262058258057,0
7790.0,False,4.0,0.9187262058258057,0
19824.0,False,2.0,0.9187262058258057,0
6724.0,False,2.0,0.9187262058258057,0
24934.0,False,2.0,0.9187262058258057,0
21620.0,False,2.0,0.9187262058258057,0
14514.0,False,2.0,0.9187262058258057,0
18756.0,False,1.0,0.9187262058258057,0
33226.0,False,2.0,0.9187262058258057,0
1140.0,False,2.0,0.9187262058258057,0
24472.0,False,1.0,0.9187262058258057,0
7790.0,False,1.0,0.9187262058258057,0
29006.0,False,1.0,0.9187262058258057,0
14514.0,False,4.0,0.9187262058258057,0
1722.0,False,2.0,0.9187262058258057,0
15908.0,False,3.0,0.9187262058258057,0
26076.0,False,1.0,0.9187262058258057,0
36980.0,False,4.0,0.9187262058258057,0
41166.0,False,1.0,0.9187262058258057,0
44688.0,False,2.0,0.9187262058258057,0
17958.0,False,1.0,0.9187262058258057,0
31202.0,False,1.0,0.9187262058258057,0
6678.0,False,2.0,0.9187262058258057,0
67192.0,False,2.0,0.9187262058258057,0
10640.0,False,5.0,0.9187262058258057,0
4326.0,False,2.0,0.9187262058258057,0
31360.0,False,3.0,0.9187262058258057,0
70672.0,False,2.0,0.9187262058258057,0
2280.0,False,4.0,0.9187262058258057,0
2376.0,False,2.0,0.9187262058258057,0
2376.0,False,2.0,0.9187262058258057,0
8930.0,False,1.0,0.9187262058258057,0
34842.0,False,1.0,0.9187262058258057,0
13100.0,False,2.0,0.9187262058258057,0
22176.0,False,2.0,0.9187262058258057,0
30218.0,False,2.0,0.9187262058258057,0
18210.0,False,1.0,0.9187262058258057,0
0.0,False,4.0,0.9187262058258057,0
34292.0,False,2.0,0.9187262058258057,0
22906.0,False,2.0,0.9187262058258057,0
1140.0,False,1.0,0.9187262058258057,0
12772.0,False,3.0,0.9187262058258057,0
0.0,False,2.0,0.9187262058258057,0
27996.0,False,1.0,0.9187262058258057,0
37200.0,False,2.0,0.9187262058258057,0
27128.0,False,1.0,0.9187262058258057,0
27996.0,False,1.0,0.9187262058258057,0
13598.0,False,1.0,0.9187262058258057,0
30476.0,False,3.0,0.9187262058258057,0
24528.0,False,2.0,0.9187262058258057,0
10640.0,False,1.0,0.9187262058258057,0
37044.0,False,2.0,0.9187262058258057,0
19570.0,False,6.0,0.9187262058258057,0
22686.0,False,3.0,0.9187262058258057,0
18368.0,False,2.0,0.9187262058258057,0
10640.0,False,4.0,0.9187262058258057,0
2124.0,False,2.0,0.9187262058258057,0
0.0,False,2.0,0.9187262058258057,0
29152.0,False,1.0,0.9187262058258057,0
36980.0,False,1.0,0.9187262058258057,0
24882.0,False,2.0,0.9187262058258057,0
31024.0,False,3.0,0.9187262058258057,0
25038.0,False,3.0,0.9187262058258057,0
1140.0,False,2.0,0.9187262058258057,0
40692.0,False,3.0,0.9187262058258057,0
0.0,False,4.0,0.9187262058258057,0
37344.0,False,2.0,0.9187262058258057,0
36798.0,False,1.0,0.9187262058258057,0
252.0,False,1.0,0.9187262058258057,0
27360.0,False,3.0,0.9187262058258057,0
43494.0,False,1.0,0.9187262058258057,0
13174.0,False,1.0,0.9187262058258057,0
42498.0,False,2.0,0.9187262058258057,0
9184.0,False,1.0,0.9187262058258057,0
8930.0,False,1.0,0.9187262058258057,0
1140.0,False,1.0,0.9187262058258057,0
18006.0,False,2.0,0.9187262058258057,0
11452.0,False,1.0,0.9187262058258057,0
27058.0,False,1.0,0.9187262058258057,0
44352.0,False,1.0,0.9187262058258057,0
6048.0,False,2.0,0.9187262058258057,0
1974.0,False,1.0,0.9187262058258057,0
46858.0,False,1.0,0.9187262058258057,0
28646.0,False,2.0,0.9187262058258057,0
25134.0,False,2.0,0.9187262058258057,0
27034.0,False,1.0,0.9187262058258057,0
27642.0,False,3.0,0.9187262058258057,0
16892.0,False,2.0,0.9187262058258057,0
37344.0,False,2.0,0.9187262058258057,0
3360.0,False,2.0,0.9187262058258057,0
39906.0,False,1.0,0.9187262058258057,0
14514.0,False,1.0,0.9187262058258057,0
30210.0,False,1.0,0.9187262058258057,0
3516.0,False,1.0,0.9187262058258057,0
2124.0,False,1.0,0.9187262058258057,0
29746.0,False,2.0,0.9187262058258057,0
